TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
803,2042.69,15.6934,446.537
804,2045.61,17.9896,500.094
805,2046.13,15.7453,436.197
806,2045.32,17.1156,447.845
807,2039.16,15.2311,409.214
808,2048.82,18.3818,507.782
809,2049.84,15.6163,450.746
810,2053.38,17.3883,494.187
811,2053.24,15.4406,448.058
812,2063.39,18.0698,493.881
813,2037.85,15.8408,450.759
814,2052.81,16.9424,471.969
815,2053.46,15.1304,414.093
816,2050.99,18.0289,493.045
817,2037.9,15.805,450.947
818,2034.62,18.0409,494.983
819,2048.86,15.254,437.374
820,2050.11,18.2307,495.108
821,2042.81,15.5844,435.264
822,2035.53,17.9381,469.557
823,2041.77,15.2093,420.796
824,2043.64,18.7042,506.004
825,2037.4,16.0201,461.121
826,2057.69,18.9484,508.013
827,2042.84,15.289,441.792
828,2049.65,18.2957,477.899
829,2043.46,15.9314,457.787
830,2039.69,18.0541,490.217
831,2036.87,15.5135,436.928
832,2044.58,16.1263,446.921
833,2027.99,17.1386,490.842
834,2068.63,15.7979,445.594
835,2038.51,17.0165,489.831
836,2054.05,16.0346,456.194
837,2044,17.2697,487.612
838,2059.13,15.263,417.637
839,2040.42,16.4986,464.766
840,2053.95,15.526,439.491
841,2026.24,16.6448,479.624
842,2061.83,16.1162,463.824
843,2047.42,17.0685,485.716
844,2043.54,15.8396,443.003
845,2038.65,16.5686,470.755
846,2052.31,15.3935,440.792
847,2044.42,16.9019,483.264
848,2037.85,17.8236,527.528
849,2047.76,17.9179,506.166
850,2047.97,17.4174,505.114
851,2036.68,17.3414,498.189
852,2045.4,15.9426,472.099
853,2034.85,18.0632,505.444
854,2029.04,17.5642,489.171
855,2049.33,17.3676,494.072
856,2040.77,16.8018,504.719
857,2043.49,18.1439,508.053
858,2051.16,18.0249,517.565
859,2039.01,17.4861,498.995
860,2049.27,17.077,492.71
861,2053.37,18.0084,505.068
862,2037.13,17.4547,495.103
